It: 1540, Loss: 3.050e-02, Loss_u: 2.720e-02, Loss_r: 3.300e-03, Time: 0.33
It: 1550, Loss: 4.400e-02, Loss_u: 3.929e-02, Loss_r: 4.703e-03, Time: 0.24
It: 1560, Loss: 4.880e-02, Loss_u: 4.339e-02, Loss_r: 5.409e-03, Time: 0.28
It: 1570, Loss: 4.430e-02, Loss_u: 3.866e-02, Loss_r: 5.646e-03, Time: 0.30
It: 1580, Loss: 3.902e-02, Loss_u: 3.434e-02, Loss_r: 4.680e-03, Time: 0.30
It: 1590, Loss: 4.043e-02, Loss_u: 3.603e-02, Loss_r: 4.404e-03, Time: 0.30
It: 1600, Loss: 3.277e-02, Loss_u: 2.805e-02, Loss_r: 4.726e-03, Time: 0.30
It: 1610, Loss: 4.819e-02, Loss_u: 4.515e-02, Loss_r: 3.040e-03, Time: 0.30
It: 1620, Loss: 4.960e-02, Loss_u: 4.571e-02, Loss_r: 3.897e-03, Time: 0.29
It: 1630, Loss: 3.813e-02, Loss_u: 3.455e-02, Loss_r: 3.578e-03, Time: 0.33
It: 1640, Loss: 5.158e-02, Loss_u: 4.527e-02, Loss_r: 6.313e-03, Time: 0.32
It: 1650, Loss: 4.400e-02, Loss_u: 4.141e-02, Loss_r: 2.589e-03, Time: 0.31
It: 1660, Loss: 3.612e-02, Loss_u: 3.295e-02, Loss_r: 3.169e-03, Time: 0.38
It: 1670, Loss: 5.855e-02, Loss_u: 5.411e-02, Loss_r: 4.443e-03, Time: 0.31
It: 1680, Loss: 5.480e-02, Loss_u: 5.165e-02, Loss_r: 3.153e-03, Time: 0.29
It: 1690, Loss: 4.085e-02, Loss_u: 3.654e-02, Loss_r: 4.307e-03, Time: 0.34
It: 1700, Loss: 5.416e-02, Loss_u: 4.898e-02, Loss_r: 5.186e-03, Time: 0.30
It: 1710, Loss: 6.537e-02, Loss_u: 6.182e-02, Loss_r: 3.555e-03, Time: 0.28
It: 1720, Loss: 3.814e-02, Loss_u: 3.269e-02, Loss_r: 5.454e-03, Time: 0.30
It: 1730, Loss: 4.223e-02, Loss_u: 3.885e-02, Loss_r: 3.382e-03, Time: 0.29
It: 1740, Loss: 3.533e-02, Loss_u: 3.151e-02, Loss_r: 3.818e-03, Time: 0.34
It: 1750, Loss: 4.299e-02, Loss_u: 3.958e-02, Loss_r: 3.413e-03, Time: 0.27
It: 1760, Loss: 6.298e-02, Loss_u: 5.866e-02, Loss_r: 4.317e-03, Time: 0.28
It: 1770, Loss: 3.498e-02, Loss_u: 3.097e-02, Loss_r: 4.008e-03, Time: 0.34
It: 1780, Loss: 3.621e-02, Loss_u: 3.287e-02, Loss_r: 3.342e-03, Time: 0.27
It: 1790, Loss: 3.440e-02, Loss_u: 2.868e-02, Loss_r: 5.722e-03, Time: 0.25
It: 1800, Loss: 3.498e-02, Loss_u: 3.204e-02, Loss_r: 2.940e-03, Time: 0.28
It: 1810, Loss: 4.309e-02, Loss_u: 3.704e-02, Loss_r: 6.050e-03, Time: 0.32
It: 1820, Loss: 4.072e-02, Loss_u: 3.610e-02, Loss_r: 4.617e-03, Time: 0.26
It: 1830, Loss: 4.830e-02, Loss_u: 4.530e-02, Loss_r: 3.001e-03, Time: 0.34
It: 1840, Loss: 4.638e-02, Loss_u: 4.127e-02, Loss_r: 5.103e-03, Time: 0.29
It: 1850, Loss: 5.364e-02, Loss_u: 5.018e-02, Loss_r: 3.458e-03, Time: 0.30
It: 1860, Loss: 5.619e-02, Loss_u: 5.294e-02, Loss_r: 3.249e-03, Time: 0.27
It: 1870, Loss: 5.381e-02, Loss_u: 4.846e-02, Loss_r: 5.349e-03, Time: 0.27
It: 1880, Loss: 4.416e-02, Loss_u: 3.820e-02, Loss_r: 5.955e-03, Time: 0.29
It: 1890, Loss: 3.843e-02, Loss_u: 3.528e-02, Loss_r: 3.154e-03, Time: 0.26
It: 1900, Loss: 4.238e-02, Loss_u: 3.736e-02, Loss_r: 5.017e-03, Time: 0.26
It: 1910, Loss: 4.401e-02, Loss_u: 3.978e-02, Loss_r: 4.228e-03, Time: 0.29
It: 1920, Loss: 4.195e-02, Loss_u: 3.781e-02, Loss_r: 4.145e-03, Time: 0.28
It: 1930, Loss: 3.727e-02, Loss_u: 3.287e-02, Loss_r: 4.400e-03, Time: 0.30
It: 1940, Loss: 4.630e-02, Loss_u: 4.313e-02, Loss_r: 3.170e-03, Time: 0.29
It: 1950, Loss: 4.698e-02, Loss_u: 4.209e-02, Loss_r: 4.896e-03, Time: 0.29
It: 1960, Loss: 4.634e-02, Loss_u: 4.228e-02, Loss_r: 4.057e-03, Time: 0.33
It: 1970, Loss: 4.214e-02, Loss_u: 3.900e-02, Loss_r: 3.133e-03, Time: 0.31
It: 1980, Loss: 4.222e-02, Loss_u: 3.908e-02, Loss_r: 3.139e-03, Time: 0.29
It: 1990, Loss: 3.590e-02, Loss_u: 3.146e-02, Loss_r: 4.431e-03, Time: 0.29
It: 2000, Loss: 4.582e-02, Loss_u: 4.003e-02, Loss_r: 5.791e-03, Time: 0.28
It: 2010, Loss: 3.947e-02, Loss_u: 3.593e-02, Loss_r: 3.539e-03, Time: 0.29
It: 2020, Loss: 3.989e-02, Loss_u: 3.681e-02, Loss_r: 3.083e-03, Time: 0.29
It: 2030, Loss: 3.212e-02, Loss_u: 2.541e-02, Loss_r: 6.713e-03, Time: 0.31
It: 2040, Loss: 3.363e-02, Loss_u: 2.946e-02, Loss_r: 4.164e-03, Time: 0.67
It: 2050, Loss: 4.901e-02, Loss_u: 4.470e-02, Loss_r: 4.313e-03, Time: 0.56
It: 2060, Loss: 4.857e-02, Loss_u: 4.355e-02, Loss_r: 5.017e-03, Time: 0.47
It: 2070, Loss: 4.635e-02, Loss_u: 4.181e-02, Loss_r: 4.533e-03, Time: 0.51
It: 2080, Loss: 4.282e-02, Loss_u: 3.888e-02, Loss_r: 3.938e-03, Time: 0.52
It: 2090, Loss: 3.881e-02, Loss_u: 3.557e-02, Loss_r: 3.233e-03, Time: 0.54
It: 2100, Loss: 4.692e-02, Loss_u: 4.082e-02, Loss_r: 6.097e-03, Time: 0.54
It: 2110, Loss: 4.938e-02, Loss_u: 4.308e-02, Loss_r: 6.301e-03, Time: 0.35
It: 2120, Loss: 3.770e-02, Loss_u: 3.421e-02, Loss_r: 3.489e-03, Time: 0.47
It: 2130, Loss: 4.376e-02, Loss_u: 4.032e-02, Loss_r: 3.438e-03, Time: 0.36
It: 2140, Loss: 3.276e-02, Loss_u: 2.664e-02, Loss_r: 6.126e-03, Time: 0.40
It: 2150, Loss: 5.209e-02, Loss_u: 4.804e-02, Loss_r: 4.048e-03, Time: 0.41
It: 2160, Loss: 4.814e-02, Loss_u: 4.490e-02, Loss_r: 3.236e-03, Time: 0.41
It: 2170, Loss: 3.518e-02, Loss_u: 3.177e-02, Loss_r: 3.406e-03, Time: 0.23
It: 2180, Loss: 4.898e-02, Loss_u: 4.509e-02, Loss_r: 3.885e-03, Time: 0.26
It: 2190, Loss: 4.798e-02, Loss_u: 4.496e-02, Loss_r: 3.020e-03, Time: 0.25
It: 2200, Loss: 3.902e-02, Loss_u: 3.559e-02, Loss_r: 3.433e-03, Time: 0.27
It: 2210, Loss: 4.373e-02, Loss_u: 4.114e-02, Loss_r: 2.592e-03, Time: 0.26
It: 2220, Loss: 4.417e-02, Loss_u: 3.908e-02, Loss_r: 5.094e-03, Time: 0.27
It: 2230, Loss: 4.039e-02, Loss_u: 3.717e-02, Loss_r: 3.214e-03, Time: 0.71
It: 2240, Loss: 4.768e-02, Loss_u: 4.399e-02, Loss_r: 3.690e-03, Time: 0.58
It: 2250, Loss: 3.915e-02, Loss_u: 3.173e-02, Loss_r: 7.422e-03, Time: 0.52
It: 2260, Loss: 3.401e-02, Loss_u: 3.119e-02, Loss_r: 2.825e-03, Time: 0.27
It: 2270, Loss: 3.885e-02, Loss_u: 3.230e-02, Loss_r: 6.547e-03, Time: 0.25
It: 2280, Loss: 4.424e-02, Loss_u: 3.901e-02, Loss_r: 5.230e-03, Time: 0.27
It: 2290, Loss: 4.115e-02, Loss_u: 3.699e-02, Loss_r: 4.160e-03, Time: 0.24
It: 2300, Loss: 5.467e-02, Loss_u: 4.863e-02, Loss_r: 6.040e-03, Time: 0.25
It: 2310, Loss: 3.610e-02, Loss_u: 3.318e-02, Loss_r: 2.920e-03, Time: 0.28
It: 2320, Loss: 4.451e-02, Loss_u: 3.916e-02, Loss_r: 5.351e-03, Time: 0.25
It: 2330, Loss: 4.101e-02, Loss_u: 3.466e-02, Loss_r: 6.353e-03, Time: 0.24
It: 2340, Loss: 4.561e-02, Loss_u: 4.149e-02, Loss_r: 4.116e-03, Time: 0.24
It: 2350, Loss: 4.463e-02, Loss_u: 4.057e-02, Loss_r: 4.054e-03, Time: 0.38
It: 2360, Loss: 4.529e-02, Loss_u: 4.163e-02, Loss_r: 3.651e-03, Time: 0.28
It: 2370, Loss: 4.581e-02, Loss_u: 4.254e-02, Loss_r: 3.264e-03, Time: 0.33
It: 2380, Loss: 3.671e-02, Loss_u: 3.239e-02, Loss_r: 4.315e-03, Time: 0.28
It: 2390, Loss: 4.578e-02, Loss_u: 4.355e-02, Loss_r: 2.224e-03, Time: 0.32
It: 2400, Loss: 4.351e-02, Loss_u: 3.853e-02, Loss_r: 4.986e-03, Time: 0.31
It: 2410, Loss: 4.121e-02, Loss_u: 3.649e-02, Loss_r: 4.724e-03, Time: 0.31
It: 2420, Loss: 3.653e-02, Loss_u: 3.145e-02, Loss_r: 5.084e-03, Time: 0.32
It: 2430, Loss: 4.073e-02, Loss_u: 3.515e-02, Loss_r: 5.577e-03, Time: 0.35
It: 2440, Loss: 4.615e-02, Loss_u: 4.188e-02, Loss_r: 4.273e-03, Time: 0.30
It: 2450, Loss: 3.240e-02, Loss_u: 2.764e-02, Loss_r: 4.758e-03, Time: 0.28
It: 2460, Loss: 3.645e-02, Loss_u: 3.102e-02, Loss_r: 5.431e-03, Time: 0.27
It: 2470, Loss: 4.900e-02, Loss_u: 3.583e-02, Loss_r: 1.317e-02, Time: 0.26
It: 2480, Loss: 3.761e-02, Loss_u: 3.429e-02, Loss_r: 3.326e-03, Time: 0.29
It: 2490, Loss: 5.180e-02, Loss_u: 4.845e-02, Loss_r: 3.346e-03, Time: 0.31
It: 2500, Loss: 4.309e-02, Loss_u: 3.640e-02, Loss_r: 6.684e-03, Time: 0.27
It: 2510, Loss: 5.979e-02, Loss_u: 5.475e-02, Loss_r: 5.034e-03, Time: 0.31
It: 2520, Loss: 3.390e-02, Loss_u: 2.955e-02, Loss_r: 4.348e-03, Time: 0.33
It: 2530, Loss: 3.468e-02, Loss_u: 2.964e-02, Loss_r: 5.047e-03, Time: 0.26
It: 2540, Loss: 3.882e-02, Loss_u: 3.486e-02, Loss_r: 3.952e-03, Time: 0.27
It: 2550, Loss: 2.623e-02, Loss_u: 2.072e-02, Loss_r: 5.509e-03, Time: 0.29
It: 2560, Loss: 3.544e-02, Loss_u: 3.266e-02, Loss_r: 2.787e-03, Time: 0.23
It: 2570, Loss: 3.762e-02, Loss_u: 3.405e-02, Loss_r: 3.572e-03, Time: 0.30
It: 2580, Loss: 3.592e-02, Loss_u: 3.209e-02, Loss_r: 3.834e-03, Time: 0.27
It: 2590, Loss: 5.492e-02, Loss_u: 4.984e-02, Loss_r: 5.080e-03, Time: 0.33
