It: 11300, Loss: 1.523e+00, Loss_u: 5.356e-01, Loss_r: 9.879e-01, Time: 0.04
It: 11400, Loss: 4.684e+00, Loss_u: 6.860e-01, Loss_r: 3.998e+00, Time: 0.04
It: 11500, Loss: 1.545e+00, Loss_u: 3.978e-01, Loss_r: 1.147e+00, Time: 0.04
It: 11600, Loss: 1.525e+00, Loss_u: 6.817e-01, Loss_r: 8.436e-01, Time: 0.04
It: 11700, Loss: 1.024e+00, Loss_u: 4.619e-01, Loss_r: 5.619e-01, Time: 0.04
It: 11800, Loss: 2.199e+00, Loss_u: 6.396e-01, Loss_r: 1.559e+00, Time: 0.04
It: 11900, Loss: 2.225e+00, Loss_u: 9.687e-01, Loss_r: 1.257e+00, Time: 0.04
It: 12000, Loss: 8.074e-01, Loss_u: 3.943e-01, Loss_r: 4.131e-01, Time: 0.04
It: 12100, Loss: 9.118e-01, Loss_u: 3.015e-01, Loss_r: 6.103e-01, Time: 0.04
It: 12200, Loss: 1.808e+00, Loss_u: 7.561e-01, Loss_r: 1.052e+00, Time: 0.04
It: 12300, Loss: 1.629e+00, Loss_u: 1.448e-01, Loss_r: 1.485e+00, Time: 0.04
It: 12400, Loss: 8.602e-01, Loss_u: 2.748e-01, Loss_r: 5.854e-01, Time: 0.05
It: 12500, Loss: 4.687e-01, Loss_u: 1.459e-01, Loss_r: 3.227e-01, Time: 0.07
It: 12600, Loss: 5.595e-01, Loss_u: 1.976e-01, Loss_r: 3.620e-01, Time: 0.04
It: 12700, Loss: 6.371e+00, Loss_u: 4.782e+00, Loss_r: 1.590e+00, Time: 0.04
It: 12800, Loss: 1.437e+00, Loss_u: 1.641e-01, Loss_r: 1.273e+00, Time: 0.04
It: 12900, Loss: 8.506e-01, Loss_u: 4.382e-01, Loss_r: 4.125e-01, Time: 0.04
It: 13000, Loss: 7.368e-01, Loss_u: 1.472e-01, Loss_r: 5.896e-01, Time: 0.04
It: 13100, Loss: 1.336e+00, Loss_u: 1.230e-01, Loss_r: 1.213e+00, Time: 0.04
It: 13200, Loss: 5.816e-01, Loss_u: 1.391e-01, Loss_r: 4.425e-01, Time: 0.04
It: 13300, Loss: 9.689e-01, Loss_u: 2.649e-01, Loss_r: 7.040e-01, Time: 0.04
It: 13400, Loss: 1.075e+00, Loss_u: 1.664e-01, Loss_r: 9.084e-01, Time: 0.04
It: 13500, Loss: 4.521e-01, Loss_u: 1.283e-01, Loss_r: 3.238e-01, Time: 0.04
It: 13600, Loss: 4.940e-01, Loss_u: 1.695e-01, Loss_r: 3.245e-01, Time: 0.04
It: 13700, Loss: 7.004e-01, Loss_u: 2.433e-01, Loss_r: 4.571e-01, Time: 0.04
It: 13800, Loss: 5.855e-01, Loss_u: 3.025e-01, Loss_r: 2.830e-01, Time: 0.04
It: 13900, Loss: 4.048e-01, Loss_u: 1.028e-01, Loss_r: 3.019e-01, Time: 0.08
It: 14000, Loss: 8.065e-01, Loss_u: 1.799e-01, Loss_r: 6.266e-01, Time: 0.04
It: 14100, Loss: 1.464e+00, Loss_u: 1.645e-01, Loss_r: 1.299e+00, Time: 0.04
It: 14200, Loss: 5.567e-01, Loss_u: 1.572e-01, Loss_r: 3.995e-01, Time: 0.04
It: 14300, Loss: 1.097e+00, Loss_u: 6.438e-01, Loss_r: 4.534e-01, Time: 0.04
It: 14400, Loss: 1.376e+00, Loss_u: 2.221e-01, Loss_r: 1.154e+00, Time: 0.04
It: 14500, Loss: 4.703e-01, Loss_u: 1.656e-01, Loss_r: 3.047e-01, Time: 0.04
It: 14600, Loss: 6.829e-01, Loss_u: 2.328e-01, Loss_r: 4.501e-01, Time: 0.04
It: 14700, Loss: 5.879e-01, Loss_u: 1.242e-01, Loss_r: 4.638e-01, Time: 0.04
It: 14800, Loss: 5.392e-01, Loss_u: 1.048e-01, Loss_r: 4.344e-01, Time: 0.04
It: 14900, Loss: 4.201e-01, Loss_u: 1.102e-01, Loss_r: 3.099e-01, Time: 0.04
It: 15000, Loss: 7.667e-01, Loss_u: 1.513e-01, Loss_r: 6.154e-01, Time: 0.06
constant_ics_val: 194.747
constant_bcs_val: 160.913
It: 15100, Loss: 6.459e-01, Loss_u: 9.747e-02, Loss_r: 5.484e-01, Time: 0.05
It: 15200, Loss: 5.162e-01, Loss_u: 1.861e-01, Loss_r: 3.301e-01, Time: 0.04
It: 15300, Loss: 6.525e-01, Loss_u: 3.599e-01, Loss_r: 2.926e-01, Time: 0.04
It: 15400, Loss: 4.890e-01, Loss_u: 1.237e-01, Loss_r: 3.653e-01, Time: 0.04
It: 15500, Loss: 7.517e-01, Loss_u: 2.256e-01, Loss_r: 5.261e-01, Time: 0.05
It: 15600, Loss: 4.074e-01, Loss_u: 8.915e-02, Loss_r: 3.182e-01, Time: 0.04
It: 15700, Loss: 7.020e-01, Loss_u: 1.604e-01, Loss_r: 5.415e-01, Time: 0.04
It: 15800, Loss: 3.888e-01, Loss_u: 1.367e-01, Loss_r: 2.521e-01, Time: 0.05
It: 15900, Loss: 6.788e-01, Loss_u: 2.883e-01, Loss_r: 3.905e-01, Time: 0.04
It: 16000, Loss: 4.727e-01, Loss_u: 1.105e-01, Loss_r: 3.622e-01, Time: 0.04
It: 16100, Loss: 4.458e-01, Loss_u: 1.251e-01, Loss_r: 3.207e-01, Time: 0.04
It: 16200, Loss: 6.823e-01, Loss_u: 1.968e-01, Loss_r: 4.854e-01, Time: 0.04
It: 16300, Loss: 1.273e+00, Loss_u: 8.064e-01, Loss_r: 4.661e-01, Time: 0.04
It: 16400, Loss: 9.306e-01, Loss_u: 2.028e-01, Loss_r: 7.278e-01, Time: 0.04
