It: 900, Loss: 4.789e-02, Loss_u: 4.147e-02, Loss_r: 6.417e-03, Time: 0.05
It: 910, Loss: 4.741e-02, Loss_u: 4.241e-02, Loss_r: 5.000e-03, Time: 0.05
It: 920, Loss: 6.074e-02, Loss_u: 4.983e-02, Loss_r: 1.092e-02, Time: 0.05
It: 930, Loss: 3.887e-02, Loss_u: 3.531e-02, Loss_r: 3.558e-03, Time: 0.05
It: 940, Loss: 5.308e-02, Loss_u: 4.730e-02, Loss_r: 5.779e-03, Time: 0.05
It: 950, Loss: 5.255e-02, Loss_u: 4.621e-02, Loss_r: 6.339e-03, Time: 0.06
It: 960, Loss: 4.030e-02, Loss_u: 3.631e-02, Loss_r: 3.992e-03, Time: 0.08
It: 970, Loss: 6.108e-02, Loss_u: 5.550e-02, Loss_r: 5.580e-03, Time: 0.06
It: 980, Loss: 5.443e-02, Loss_u: 4.964e-02, Loss_r: 4.786e-03, Time: 0.05
It: 990, Loss: 4.440e-02, Loss_u: 4.100e-02, Loss_r: 3.405e-03, Time: 0.05
It: 1000, Loss: 6.359e-02, Loss_u: 5.614e-02, Loss_r: 7.448e-03, Time: 0.07
Gradients information stored ...
It: 1010, Loss: 5.708e-02, Loss_u: 5.296e-02, Loss_r: 4.125e-03, Time: 0.05
It: 1020, Loss: 4.781e-02, Loss_u: 4.311e-02, Loss_r: 4.694e-03, Time: 0.05
It: 1030, Loss: 5.225e-02, Loss_u: 4.838e-02, Loss_r: 3.872e-03, Time: 0.05
It: 1040, Loss: 3.829e-02, Loss_u: 3.447e-02, Loss_r: 3.819e-03, Time: 0.05
It: 1050, Loss: 7.451e-02, Loss_u: 7.037e-02, Loss_r: 4.140e-03, Time: 0.06
It: 1060, Loss: 4.718e-02, Loss_u: 4.310e-02, Loss_r: 4.076e-03, Time: 0.05
It: 1070, Loss: 5.120e-02, Loss_u: 4.612e-02, Loss_r: 5.078e-03, Time: 0.05
It: 1080, Loss: 4.975e-02, Loss_u: 4.512e-02, Loss_r: 4.629e-03, Time: 0.05
It: 1090, Loss: 4.580e-02, Loss_u: 4.048e-02, Loss_r: 5.314e-03, Time: 0.08
It: 1100, Loss: 6.057e-02, Loss_u: 5.666e-02, Loss_r: 3.902e-03, Time: 0.07
It: 1110, Loss: 5.451e-02, Loss_u: 4.986e-02, Loss_r: 4.645e-03, Time: 0.05
It: 1120, Loss: 4.825e-02, Loss_u: 4.456e-02, Loss_r: 3.686e-03, Time: 0.05
It: 1130, Loss: 3.955e-02, Loss_u: 3.577e-02, Loss_r: 3.777e-03, Time: 0.05
It: 1140, Loss: 5.423e-02, Loss_u: 4.998e-02, Loss_r: 4.244e-03, Time: 0.05
It: 1150, Loss: 4.494e-02, Loss_u: 3.670e-02, Loss_r: 8.239e-03, Time: 0.06
It: 1160, Loss: 5.280e-02, Loss_u: 4.970e-02, Loss_r: 3.100e-03, Time: 0.05
It: 1170, Loss: 5.480e-02, Loss_u: 4.858e-02, Loss_r: 6.218e-03, Time: 0.05
It: 1180, Loss: 5.935e-02, Loss_u: 5.456e-02, Loss_r: 4.787e-03, Time: 0.05
It: 1190, Loss: 5.285e-02, Loss_u: 4.936e-02, Loss_r: 3.493e-03, Time: 0.05
It: 1200, Loss: 4.264e-02, Loss_u: 3.796e-02, Loss_r: 4.677e-03, Time: 0.06
It: 1210, Loss: 5.307e-02, Loss_u: 4.820e-02, Loss_r: 4.875e-03, Time: 0.05
It: 1220, Loss: 4.671e-02, Loss_u: 4.133e-02, Loss_r: 5.376e-03, Time: 0.05
It: 1230, Loss: 3.535e-02, Loss_u: 2.928e-02, Loss_r: 6.066e-03, Time: 0.10
It: 1240, Loss: 4.781e-02, Loss_u: 4.374e-02, Loss_r: 4.071e-03, Time: 0.05
It: 1250, Loss: 5.347e-02, Loss_u: 4.753e-02, Loss_r: 5.942e-03, Time: 0.05
It: 1260, Loss: 3.562e-02, Loss_u: 3.157e-02, Loss_r: 4.049e-03, Time: 0.05
It: 1270, Loss: 3.371e-02, Loss_u: 2.976e-02, Loss_r: 3.950e-03, Time: 0.05
It: 1280, Loss: 4.543e-02, Loss_u: 4.105e-02, Loss_r: 4.380e-03, Time: 0.05
It: 1290, Loss: 6.686e-02, Loss_u: 6.170e-02, Loss_r: 5.167e-03, Time: 0.06
It: 1300, Loss: 3.578e-02, Loss_u: 3.059e-02, Loss_r: 5.186e-03, Time: 0.05
It: 1310, Loss: 6.221e-02, Loss_u: 5.796e-02, Loss_r: 4.248e-03, Time: 0.06
It: 1320, Loss: 5.359e-02, Loss_u: 4.866e-02, Loss_r: 4.932e-03, Time: 0.06
