It: 10400, Loss: 4.104e-01, Loss_u: 1.113e-01, Loss_r: 2.992e-01, Time: 0.04
It: 10500, Loss: 5.949e-01, Loss_u: 2.027e-01, Loss_r: 3.921e-01, Time: 0.04
It: 10600, Loss: 4.375e-01, Loss_u: 1.353e-01, Loss_r: 3.022e-01, Time: 0.04
It: 10700, Loss: 3.144e-01, Loss_u: 5.161e-02, Loss_r: 2.628e-01, Time: 0.04
It: 10800, Loss: 6.436e-01, Loss_u: 8.986e-02, Loss_r: 5.538e-01, Time: 0.04
It: 10900, Loss: 3.780e-01, Loss_u: 5.069e-02, Loss_r: 3.273e-01, Time: 0.04
It: 11000, Loss: 4.180e-01, Loss_u: 6.460e-02, Loss_r: 3.534e-01, Time: 0.04
It: 11100, Loss: 3.213e-01, Loss_u: 5.176e-02, Loss_r: 2.695e-01, Time: 0.04
It: 11200, Loss: 1.578e+00, Loss_u: 4.203e-01, Loss_r: 1.158e+00, Time: 0.04
It: 11300, Loss: 3.944e-01, Loss_u: 5.321e-02, Loss_r: 3.412e-01, Time: 0.04
It: 11400, Loss: 5.263e-01, Loss_u: 6.045e-02, Loss_r: 4.659e-01, Time: 0.04
It: 11500, Loss: 6.203e-01, Loss_u: 2.355e-01, Loss_r: 3.847e-01, Time: 0.05
It: 11600, Loss: 7.530e-01, Loss_u: 1.040e-01, Loss_r: 6.491e-01, Time: 0.04
It: 11700, Loss: 3.993e+00, Loss_u: 2.872e+00, Loss_r: 1.121e+00, Time: 0.04
It: 11800, Loss: 1.658e+00, Loss_u: 3.987e-01, Loss_r: 1.260e+00, Time: 0.04
It: 11900, Loss: 1.743e+00, Loss_u: 9.687e-02, Loss_r: 1.646e+00, Time: 0.04
It: 12000, Loss: 1.184e+00, Loss_u: 6.939e-01, Loss_r: 4.905e-01, Time: 0.04
It: 12100, Loss: 5.167e-01, Loss_u: 6.789e-02, Loss_r: 4.488e-01, Time: 0.04
It: 12200, Loss: 2.985e-01, Loss_u: 4.131e-02, Loss_r: 2.572e-01, Time: 0.04
It: 12300, Loss: 3.867e-01, Loss_u: 5.282e-02, Loss_r: 3.339e-01, Time: 0.04
It: 12400, Loss: 3.553e-01, Loss_u: 5.811e-02, Loss_r: 2.972e-01, Time: 0.04
It: 12500, Loss: 2.443e-01, Loss_u: 5.768e-02, Loss_r: 1.866e-01, Time: 0.04
It: 12600, Loss: 1.667e+00, Loss_u: 5.961e-02, Loss_r: 1.608e+00, Time: 0.04
It: 12700, Loss: 5.778e-01, Loss_u: 5.571e-02, Loss_r: 5.221e-01, Time: 0.04
It: 12800, Loss: 8.277e-01, Loss_u: 2.005e-01, Loss_r: 6.272e-01, Time: 0.04
It: 12900, Loss: 4.175e-01, Loss_u: 7.625e-02, Loss_r: 3.412e-01, Time: 0.04
It: 13000, Loss: 1.285e+00, Loss_u: 5.675e-01, Loss_r: 7.178e-01, Time: 0.04
It: 13100, Loss: 6.538e-01, Loss_u: 5.858e-02, Loss_r: 5.952e-01, Time: 0.04
It: 13200, Loss: 3.292e-01, Loss_u: 1.080e-01, Loss_r: 2.212e-01, Time: 0.04
It: 13300, Loss: 1.131e+00, Loss_u: 6.754e-02, Loss_r: 1.064e+00, Time: 0.05
It: 13400, Loss: 3.032e-01, Loss_u: 1.393e-01, Loss_r: 1.639e-01, Time: 0.04
It: 13500, Loss: 8.676e-01, Loss_u: 3.649e-01, Loss_r: 5.027e-01, Time: 0.05
It: 13600, Loss: 3.210e-01, Loss_u: 4.550e-02, Loss_r: 2.755e-01, Time: 0.04
It: 13700, Loss: 3.245e-01, Loss_u: 9.968e-02, Loss_r: 2.248e-01, Time: 0.04
It: 13800, Loss: 1.116e+00, Loss_u: 3.948e-01, Loss_r: 7.217e-01, Time: 0.04
It: 13900, Loss: 5.800e-01, Loss_u: 1.846e-01, Loss_r: 3.955e-01, Time: 0.04
It: 14000, Loss: 8.189e-01, Loss_u: 1.707e-01, Loss_r: 6.482e-01, Time: 0.04
It: 14100, Loss: 1.930e-01, Loss_u: 3.253e-02, Loss_r: 1.605e-01, Time: 0.04
It: 14200, Loss: 2.401e-01, Loss_u: 6.643e-02, Loss_r: 1.737e-01, Time: 0.04
It: 14300, Loss: 7.890e-01, Loss_u: 1.070e-01, Loss_r: 6.820e-01, Time: 0.04
It: 14400, Loss: 6.455e-01, Loss_u: 4.126e-02, Loss_r: 6.043e-01, Time: 0.04
It: 14500, Loss: 3.342e-01, Loss_u: 9.679e-02, Loss_r: 2.374e-01, Time: 0.05
It: 14600, Loss: 7.668e-01, Loss_u: 4.470e-02, Loss_r: 7.221e-01, Time: 0.05
It: 14700, Loss: 3.042e-01, Loss_u: 3.803e-02, Loss_r: 2.662e-01, Time: 0.04
It: 14800, Loss: 3.261e-01, Loss_u: 9.660e-02, Loss_r: 2.295e-01, Time: 0.04
It: 14900, Loss: 7.658e-01, Loss_u: 2.911e-01, Loss_r: 4.747e-01, Time: 0.03
It: 15000, Loss: 3.920e-01, Loss_u: 1.397e-01, Loss_r: 2.522e-01, Time: 0.05
constant_ics_val: 68.125
constant_bcs_val: 148.958
It: 15100, Loss: 3.108e-01, Loss_u: 4.242e-02, Loss_r: 2.684e-01, Time: 0.05
It: 15200, Loss: 2.717e-01, Loss_u: 3.256e-02, Loss_r: 2.392e-01, Time: 0.04
It: 15300, Loss: 3.123e-01, Loss_u: 1.308e-01, Loss_r: 1.815e-01, Time: 0.04
It: 15400, Loss: 3.602e-01, Loss_u: 1.317e-01, Loss_r: 2.285e-01, Time: 0.04
It: 15500, Loss: 1.903e-01, Loss_u: 4.710e-02, Loss_r: 1.432e-01, Time: 0.05
It: 15600, Loss: 5.058e-01, Loss_u: 6.836e-02, Loss_r: 4.374e-01, Time: 0.04
It: 15700, Loss: 3.053e-01, Loss_u: 3.860e-02, Loss_r: 2.667e-01, Time: 0.04
It: 15800, Loss: 6.312e-01, Loss_u: 8.175e-02, Loss_r: 5.495e-01, Time: 0.04
It: 15900, Loss: 1.438e+00, Loss_u: 4.707e-01, Loss_r: 9.670e-01, Time: 0.04
It: 16000, Loss: 4.235e-01, Loss_u: 4.179e-02, Loss_r: 3.817e-01, Time: 0.04
It: 16100, Loss: 4.415e-01, Loss_u: 2.504e-01, Loss_r: 1.912e-01, Time: 0.05
It: 16200, Loss: 2.164e-01, Loss_u: 6.293e-02, Loss_r: 1.534e-01, Time: 0.02
It: 16300, Loss: 1.035e+00, Loss_u: 6.134e-01, Loss_r: 4.218e-01, Time: 0.04
It: 16400, Loss: 3.758e-01, Loss_u: 5.854e-02, Loss_r: 3.173e-01, Time: 0.04
It: 16500, Loss: 2.947e-01, Loss_u: 6.859e-02, Loss_r: 2.261e-01, Time: 0.04
It: 16600, Loss: 2.240e-01, Loss_u: 5.808e-02, Loss_r: 1.659e-01, Time: 0.04
It: 16700, Loss: 4.832e-01, Loss_u: 4.364e-02, Loss_r: 4.395e-01, Time: 0.04
It: 16800, Loss: 4.583e-01, Loss_u: 4.940e-02, Loss_r: 4.089e-01, Time: 0.04
It: 16900, Loss: 6.519e-01, Loss_u: 9.434e-02, Loss_r: 5.576e-01, Time: 0.08
It: 17000, Loss: 1.766e-01, Loss_u: 4.556e-02, Loss_r: 1.311e-01, Time: 0.04
It: 17100, Loss: 9.492e-01, Loss_u: 2.465e-01, Loss_r: 7.027e-01, Time: 0.05
It: 17200, Loss: 3.868e-01, Loss_u: 1.479e-01, Loss_r: 2.389e-01, Time: 0.04
It: 17300, Loss: 5.109e-01, Loss_u: 3.505e-01, Loss_r: 1.603e-01, Time: 0.04
It: 17400, Loss: 2.000e-01, Loss_u: 6.041e-02, Loss_r: 1.396e-01, Time: 0.04
It: 17500, Loss: 6.823e-01, Loss_u: 5.571e-02, Loss_r: 6.266e-01, Time: 0.05
It: 17600, Loss: 7.513e-01, Loss_u: 4.544e-01, Loss_r: 2.969e-01, Time: 0.04
It: 17700, Loss: 4.440e-01, Loss_u: 2.521e-01, Loss_r: 1.919e-01, Time: 0.05
It: 17800, Loss: 3.043e-01, Loss_u: 4.941e-02, Loss_r: 2.549e-01, Time: 0.05
It: 17900, Loss: 3.175e-01, Loss_u: 4.318e-02, Loss_r: 2.743e-01, Time: 0.04
It: 18000, Loss: 1.651e-01, Loss_u: 3.886e-02, Loss_r: 1.263e-01, Time: 0.05
It: 18100, Loss: 3.702e-01, Loss_u: 6.471e-02, Loss_r: 3.055e-01, Time: 0.04
It: 18200, Loss: 1.107e+00, Loss_u: 5.483e-01, Loss_r: 5.583e-01, Time: 0.04
It: 18300, Loss: 1.644e-01, Loss_u: 2.764e-02, Loss_r: 1.367e-01, Time: 0.04
It: 18400, Loss: 1.830e-01, Loss_u: 2.860e-02, Loss_r: 1.544e-01, Time: 0.04
It: 18500, Loss: 1.721e-01, Loss_u: 5.068e-02, Loss_r: 1.215e-01, Time: 0.04
It: 18600, Loss: 1.500e-01, Loss_u: 2.418e-02, Loss_r: 1.259e-01, Time: 0.04
It: 18700, Loss: 3.128e-01, Loss_u: 3.974e-02, Loss_r: 2.731e-01, Time: 0.04
It: 18800, Loss: 4.624e-01, Loss_u: 5.145e-02, Loss_r: 4.109e-01, Time: 0.05
It: 18900, Loss: 1.482e-01, Loss_u: 3.798e-02, Loss_r: 1.102e-01, Time: 0.04
It: 19000, Loss: 3.166e-01, Loss_u: 1.128e-01, Loss_r: 2.038e-01, Time: 0.05
It: 19100, Loss: 1.732e-01, Loss_u: 3.530e-02, Loss_r: 1.379e-01, Time: 0.04
It: 19200, Loss: 3.145e-01, Loss_u: 1.033e-01, Loss_r: 2.113e-01, Time: 0.04
It: 19300, Loss: 1.498e-01, Loss_u: 2.774e-02, Loss_r: 1.221e-01, Time: 0.04
It: 19400, Loss: 3.403e-01, Loss_u: 1.390e-01, Loss_r: 2.014e-01, Time: 0.05
It: 19500, Loss: 1.471e-01, Loss_u: 2.660e-02, Loss_r: 1.205e-01, Time: 0.04
It: 19600, Loss: 2.300e-01, Loss_u: 9.808e-02, Loss_r: 1.319e-01, Time: 0.04
It: 19700, Loss: 2.218e-01, Loss_u: 4.102e-02, Loss_r: 1.808e-01, Time: 0.04
It: 19800, Loss: 2.401e-01, Loss_u: 1.385e-01, Loss_r: 1.016e-01, Time: 0.04
It: 19900, Loss: 1.625e-01, Loss_u: 3.493e-02, Loss_r: 1.276e-01, Time: 0.04
It: 20000, Loss: 2.205e-01, Loss_u: 2.997e-02, Loss_r: 1.906e-01, Time: 0.04
constant_ics_val: 61.902
constant_bcs_val: 143.168
It: 20100, Loss: 2.217e-01, Loss_u: 2.739e-02, Loss_r: 1.943e-01, Time: 0.04
It: 20200, Loss: 9.980e-02, Loss_u: 2.354e-02, Loss_r: 7.626e-02, Time: 0.04
It: 20300, Loss: 2.029e-01, Loss_u: 3.217e-02, Loss_r: 1.707e-01, Time: 0.04
It: 20400, Loss: 3.385e-01, Loss_u: 5.838e-02, Loss_r: 2.801e-01, Time: 0.04
It: 20500, Loss: 2.055e-01, Loss_u: 1.985e-02, Loss_r: 1.856e-01, Time: 0.04
It: 20600, Loss: 1.672e-01, Loss_u: 4.208e-02, Loss_r: 1.251e-01, Time: 0.05
It: 20700, Loss: 1.608e-01, Loss_u: 3.302e-02, Loss_r: 1.278e-01, Time: 0.04
It: 20800, Loss: 2.685e-01, Loss_u: 2.616e-02, Loss_r: 2.423e-01, Time: 0.04
It: 20900, Loss: 2.756e-01, Loss_u: 6.445e-02, Loss_r: 2.112e-01, Time: 0.05
It: 21000, Loss: 3.031e-01, Loss_u: 3.092e-02, Loss_r: 2.722e-01, Time: 0.07
It: 21100, Loss: 2.622e-01, Loss_u: 3.190e-02, Loss_r: 2.303e-01, Time: 0.05
It: 21200, Loss: 2.195e-01, Loss_u: 3.100e-02, Loss_r: 1.885e-01, Time: 0.05
It: 21300, Loss: 1.698e-01, Loss_u: 3.724e-02, Loss_r: 1.326e-01, Time: 0.04
It: 21400, Loss: 1.920e-01, Loss_u: 6.874e-02, Loss_r: 1.233e-01, Time: 0.05
It: 21500, Loss: 3.650e-01, Loss_u: 1.965e-01, Loss_r: 1.685e-01, Time: 0.08
It: 21600, Loss: 6.395e-01, Loss_u: 1.104e-01, Loss_r: 5.291e-01, Time: 0.04
It: 21700, Loss: 2.011e-01, Loss_u: 5.087e-02, Loss_r: 1.502e-01, Time: 0.04
It: 21800, Loss: 1.470e-01, Loss_u: 3.532e-02, Loss_r: 1.117e-01, Time: 0.08
It: 21900, Loss: 2.265e-01, Loss_u: 2.846e-02, Loss_r: 1.981e-01, Time: 0.05
It: 22000, Loss: 1.932e-01, Loss_u: 3.329e-02, Loss_r: 1.599e-01, Time: 0.05
It: 22100, Loss: 1.932e-01, Loss_u: 4.698e-02, Loss_r: 1.462e-01, Time: 0.07
It: 22200, Loss: 1.327e-01, Loss_u: 3.158e-02, Loss_r: 1.011e-01, Time: 0.04
It: 22300, Loss: 1.308e-01, Loss_u: 6.184e-02, Loss_r: 6.898e-02, Time: 0.05
It: 22400, Loss: 1.108e-01, Loss_u: 2.604e-02, Loss_r: 8.477e-02, Time: 0.05
It: 22500, Loss: 1.866e-01, Loss_u: 3.843e-02, Loss_r: 1.482e-01, Time: 0.05
It: 22600, Loss: 2.712e-01, Loss_u: 6.914e-02, Loss_r: 2.020e-01, Time: 0.05
It: 22700, Loss: 1.872e-01, Loss_u: 2.032e-02, Loss_r: 1.669e-01, Time: 0.04
It: 22800, Loss: 1.167e-01, Loss_u: 2.391e-02, Loss_r: 9.278e-02, Time: 0.04
It: 22900, Loss: 1.619e-01, Loss_u: 2.982e-02, Loss_r: 1.321e-01, Time: 0.05
It: 23000, Loss: 1.132e-01, Loss_u: 2.784e-02, Loss_r: 8.535e-02, Time: 0.05
It: 23100, Loss: 1.455e-01, Loss_u: 2.741e-02, Loss_r: 1.181e-01, Time: 0.06
It: 23200, Loss: 1.079e-01, Loss_u: 2.540e-02, Loss_r: 8.254e-02, Time: 0.05
It: 23300, Loss: 1.143e-01, Loss_u: 2.770e-02, Loss_r: 8.662e-02, Time: 0.05
It: 23400, Loss: 1.825e-01, Loss_u: 9.089e-02, Loss_r: 9.158e-02, Time: 0.05
It: 23500, Loss: 2.946e-01, Loss_u: 3.841e-02, Loss_r: 2.562e-01, Time: 0.04
It: 23600, Loss: 2.539e-01, Loss_u: 2.683e-02, Loss_r: 2.271e-01, Time: 0.04
It: 23700, Loss: 9.165e-02, Loss_u: 2.137e-02, Loss_r: 7.028e-02, Time: 0.05
It: 23800, Loss: 2.285e-01, Loss_u: 2.828e-02, Loss_r: 2.002e-01, Time: 0.04
It: 23900, Loss: 1.400e-01, Loss_u: 2.733e-02, Loss_r: 1.126e-01, Time: 0.05
It: 24000, Loss: 4.585e-01, Loss_u: 2.536e-02, Loss_r: 4.331e-01, Time: 0.05
It: 24100, Loss: 1.217e-01, Loss_u: 1.732e-02, Loss_r: 1.044e-01, Time: 0.05
It: 24200, Loss: 1.464e-01, Loss_u: 1.977e-02, Loss_r: 1.267e-01, Time: 0.04
It: 24300, Loss: 1.098e-01, Loss_u: 2.596e-02, Loss_r: 8.383e-02, Time: 0.04
It: 24400, Loss: 1.176e-01, Loss_u: 3.788e-02, Loss_r: 7.974e-02, Time: 0.05
It: 24500, Loss: 9.546e-02, Loss_u: 2.565e-02, Loss_r: 6.981e-02, Time: 0.04
It: 24600, Loss: 1.396e-01, Loss_u: 4.060e-02, Loss_r: 9.901e-02, Time: 0.05
It: 24700, Loss: 1.381e-01, Loss_u: 2.927e-02, Loss_r: 1.088e-01, Time: 0.04
It: 24800, Loss: 1.647e-01, Loss_u: 4.360e-02, Loss_r: 1.211e-01, Time: 0.04
It: 24900, Loss: 1.469e-01, Loss_u: 2.080e-02, Loss_r: 1.261e-01, Time: 0.04
It: 25000, Loss: 8.896e-02, Loss_u: 2.566e-02, Loss_r: 6.329e-02, Time: 0.04
constant_ics_val: 56.728
constant_bcs_val: 140.350
It: 25100, Loss: 1.992e-01, Loss_u: 2.300e-02, Loss_r: 1.762e-01, Time: 0.04
It: 25200, Loss: 1.452e-01, Loss_u: 3.227e-02, Loss_r: 1.129e-01, Time: 0.04
It: 25300, Loss: 1.537e-01, Loss_u: 8.190e-02, Loss_r: 7.181e-02, Time: 0.09
It: 25400, Loss: 1.216e-01, Loss_u: 2.377e-02, Loss_r: 9.783e-02, Time: 0.05
